id,name,address,phone,dob
2557,Tony Hartman,"2312 40th Street, Calgary AB T2C 2P3",8072163498,1930-11-14
1599,Amy Miller,"622 Nelson Street, Big Trout Lake ON P0V 1G0",8074838954,1931-07-28
2483,Amanda Chan,"1617 Main St, Manor SK S0C 1R0",2897862828,1931-11-20
2971,Terri Kirby,"4058 49th Avenue, Qikiqtarjuaq NU X0A 0B0",7782417135,1935-12-19
2212,Peter Smith,"2958 Beaver Creek, Thornhill ON L4J 1W2",7809654015,1937-11-15
2566,Alicia Cain,"1145 Montreal Road, Ottawa ON K1L 6C7",7099887571,1939-07-06
2242,Michael Shea,"813 Blanshard, Victoria BC V8W 2H9",9029625999,1939-08-20
2281,Colton Shaw,"1423 rue Levy, Montreal QC H3C 5K4",7092293699,1943-06-28
2270,Curtis Rivera,"1152 rue Levy, Montreal QC H3C 5K4",5144839200,1947-07-16
1491,Eric Davis,"969 Brand Road, Saskatoon SK S7K 1W8",4167003576,1950-03-27
1421,Brian Cruz," 2242 Carlson Road, Prince George BC  V2L 5E5",5062513606,1952-09-10
2759,Nathaniel Taylor,"615 90th Avenue, Schuler AB T0J 3B0",5875883821,1954-08-23
2005,Nathaniel Thompson,"4313 Granville St,  Halifax NS B3K 5L2",7057967540,1961-09-14
2560,Jacob Carr,"4964 Blind Bay Road, Salmon Arm BC V0E 2T0",7096343099,1969-11-20
1668,Kayla Davis,"391 St. John Street, Viscount SK S4P 3Y2",4189925397,1976-04-03
2962,Oscar Anderson,"4559 Riedel Street, Fort Mcmurray AB T9H 3J9",3062173835,1977-04-02
1284,Kelsey Fleming,"1415 40th Street, Calgary AB T2P 4L4",5812568383,1983-01-15
2165,Roberto Freeman,"1260 Bay Street, Toronto ON M5J 2R8",8679539926,1989-10-16
1584,James Torres,"4896 Whitmore Road,  Fort Erie ON L0L 0L0",5872253736,1990-01-26
1234,Andrew Willis DDS,"2124 Adelaide St, Toronto ON M5H 1P6",4316451721,1990-05-19
1434,Charles Garcia,"557 rue Saint-Antoine, Granby QC J2H 2H5",4166316021,1998-12-13
1176,Thomas Miller,"559 rue Fournier, St Jerome QC J7Z 4V1",5816406589,2002-10-31
1139,Michele Lara,"3761 Venture Place, Slave Lake AB T0G 2A2",5196449417,2005-08-22
2295,Megan Brown,"1519 René-Lévesque Blvd, Montreal QC H3B 4W8",6135813484,2006-05-08
1697,Betty Fry,"4637 Fallon Drive, Chesley ON N0G 1L0",7788255491,2017-11-14
1179,Sean Marshall,"3806 Fallon Drive, Durham ON N0G 1R0",2045856370,1930-06-02
1865,Jeremy Schneider,"3973 Brand Road, Saskatoon SK S7K 1W8",2048414095,1933-12-21
1226,Catherine Reynolds,"3803 Gateway Blvd, Edmonton AB T6H 1J5",9025088492,1938-02-08
